Tape_nr,Programtittel,Tid,Dato,Format,Innhold,Personer,Produsent,Rettigheter,Oppdragsgiver,Generasjon,Merknader,Column,Column 14,Column 15
2044,Aktualitetsinnslag på nær-TV om hendelser på UiB.,00:22:58,Wed Aug 28 00:00:00 CEST 1985,U-MaticLB,"Bånd 1: Aktualitetsinnslag. 1: Årsfesten 1986.  2: Intervju med romfarer Kathryn D. Sullivan.  3: Æresdoktorar i Håkonshallen.  4: Utstillingen ""Bryggen i brennpunktet"".  5: Utstillingen ""Tuberkulosen i Norge"". Rep. om Arboretet på Milde.","Kathryn D. Sullivan, Ole D. Lærum, Poul Søndergaard, Mary Losvik, Magne Sandvik.",Gjartrud Kolaas,UMS,,Dub,Nær-TV,,,
2045,Aktualitetsinnslag på nær-TV om hendelser på UiB.,00:23:05,Wed Aug 28 00:00:00 CEST 1985,U-MaticLB,"1:Årsfest, intervju med Kathryn D. Sullivan, æresdoktorer i Håkonshallen 2:Utstilling ""Bryggen i brennpunktet"" 3:Utstilling ""Tuberkulosen i Norge"" 4: Arboretet på Milde.","Kathryn D. Sullivan, Ole D. Lærum, Poul Søndergaard, Mary Losvik, Magne Sandvik.",Gjartrud Kolaas,UMS,,Dub,Nær-TV,,,
2046,Meir menneskeleg.,00:50:05,Wed Sep 18 00:00:00 CEST 1985,U-MaticLB,"Programmet har undertittelen ""Humanister i Bergen møter framtida"" og er laget i forbindelse med Humanioradagene ved Universitetet høsten -85. Programmet gir i et tverrsnitt en beskrivelse av de humanistiske fagenes stilling i 80-årene, deres bredde,",Tom Hetland,Gjartrud Kolaas,UMS,,Master,Nær-TV,,,
2048,Møtested mellom fortid og nåtid. Orientering om lørdagsuniversitetet i høst.,00:29:55,Wed Oct 16 00:00:00 CET 1985,U-MaticLB,"1: Bryggens Museum - møtested mellom fortid og nåtid""  2: Orientering om lørdagsuniversitetet i høst",,Arnt Brandseth,UMS,,Dub,Nær-TV,,,
2051,Se innhold,00:48:06,Wed Dec 11 00:00:00 CET 1985,U-MaticLB,1:Passer filmen for barn? 2:Bøker i Bergen. 3:Jordskjelvstasonene. 4:De farlige bølgene.,Tordis Dalland Evans.,Arnt Brandseth,UMS,,Dub,Nær-TV,,,
2092,Lokalhistorie.,,,U-MaticLB,Vignett Lokalhistorie,,Gjartrud Kolaas,UMS,,Master,Nær-TV,,,
2094,De farlige bølgene.,00:05:15,Tue Oct 01 00:00:00 CET 1985,U-MaticLB,Barn blir sløve av å se fjernsyn! Denne påstanden er blitt undersøkt ved Inst. for somatisk psykologi ved UiB. Forskerne har ikke kunnet finne fysiologiske bevis for at TV-titting sløver barns oppmerksomhet. Forskerne har spesielt undersøkt alfabølgenes,"Tordis Dalland Evans, Tom Hetland, Marie Lillebø, Dag Vilsvik, Knut Halfdan Svendsen.",Gjartrud Kolaas,UMS,,Master,Nær-TV,,,
2095,Passer filmen for barn?,00:13:45,Tue Oct 01 00:00:00 CET 1985,U-MaticLB,Hva barn opplever av en film er ofte ulikt det voksne tror at barn opplever. Forskere ved UiB har gjennom flere undersøkelser prøvd å finne ut hvordan filmens budskap når frem til barn i ulik alder.,"Tordis Dalland Evans, Tom Hetland, Jon Egil Thorsen, Eirin Totland, Laila Fjellanger,Hilde Frøkaland",Gjartrud Kolaas,UMS,,Master,Nær-TV,,,
2119,Hanseatica Bergensia.,00:50:00,,U-MaticLB,Hanseatica Bergensia,,Gjartrud Kolaas,UMS,,Master,,,,
2121,Bøker i Bergen 2.,00:38:13,Wed Feb 19 00:00:00 CET 1986,U-MaticLB,Bøker i Bergen 2 v/Leif Longum. Gjest i studio: Willy Dahl. Nidelvens toneoppbygning.,"Leif Longum, Willy Dahl.",Arnt Brandseth,UMS,,Master,Nær-TV,,,
