Tape_nr,Programtittel,Tid,Dato,Format,Innhold,Personer,Produsent,Rettigheter,Oppdragsgiver,Generasjon,Merknader,Column,Column 14,Column 15
4132,Yard Number 1612,00:03:00,Wed Mar 31 00:00:00 CEST 1993,BetacamSP,"Dokumentasjon av maskinrom, styrehus og interiør av katamaranbåt, Yard Number 1612",,Arnt Brandseth,Kværner Fjellstrand,Kværner Fjellstrand,Master,,,,
4162,Fjernord,01:55:35,Wed Dec 11 00:00:00 CET 1996,"1"" C",Fjernord kopieringsmaster: 1: Presentasjon. 2: Å studere nordisk. 3: Teorier om litteratur.,"Magne Eide Møster (1+2), Asbjørn Aarseth.",May-Britt Skjelvik,Univisjon,,Dub,Ligger hos SEVU,,,
4168,Fjernord,00:29:39,Mon Jun 28 00:00:00 CEST 1993,"1"" C",Fjernord: Den norrøne litteraturen,Bjarne Fidjestøl,May-Britt Skjelvik,Univisjon,,Master,NRK,,,
4170,Fjernord,00:30:40,Mon Jun 21 00:00:00 CEST 1993,"1"" C",Fjernord: Presentasjon av Fjernord.,Magne Eide Møster,May-Britt Skjelvik,Univisjon,,Master,NRK,,,
4171,Fjernord,00:29:37,Fri May 14 00:00:00 CEST 1993,"1"" C","Fjernord: Oppbyggelse, oppdragelse, fornøyelse 1536 -1800",Asbjørn Aarseth,May-Britt Skjelvik,Univisjon,,Master,NRK,,,
4172,Fjernord,,,"1"" C",Fjernord: Innslag i Sjangeren dramatikk: Henrik Wergeland og friheten.,,May-Britt Skjelvik,Univisjon,,Master,,,,
4185,"Folk of the Sea, in Consert",,,BetacamSP,"Konsertopptak av ""Folk of the Sea, in Consert"" lydkopiert fra lydkassett. Bilde: Undervannsopptak av strandnot, Animasjon: Strømforhold i Nordsjøen",,,Folk of the Sea,,Dub,,,,
4189,Filmen om Edvard Grieg.,00:17:00,Sat Apr 10 00:00:00 CEST 1993,BetacamSP,Film om Edvard Griegs liv og musikk. Norsk.,,Nils Arne Sæbø,Univisjon,,Dub,,,,
4193,Fjernord 17 og 20,01:50:00,Wed Sep 01 00:00:00 CEST 1993,BetacamSP,"Fjernord videoforelesninger nr 17. Morfologi, ordklassar i norsk. 43:10 Fjernord videoforelesninger 20. ""Du skakje kadla meg Annemor lenger"". 28:50","Jarle Rønhovd, Margareth Sandvik m.fl.",Boneté Xavier,Univisjon,SEVU,Master,NRK,,,
4195,Reform-94. Læreplanene og det utvidete kunnskapsbegrepet.,00:30:00,Wed Oct 20 00:00:00 CET 1993,BetacamSP,Reform -94 program 2,,Arnt Brandseth,Univisjon,KUF,Dub,,,,
4195,Reform-94. Evaluering i videregående opplæring.,00:30:00,Wed Oct 20 00:00:00 CET 1993,BetacamSP,Reform -94 program 3,,Arnt Brandseth,Univisjon,KUF,Dub,,,,
4196,Fjernord 19 og 23,01:50:00,Wed Sep 01 00:00:00 CEST 1993,BetacamSP,Fjernord videoforelesninger 19: Omforming av setningar og setningsledd. 40:12 Fjernord videoforelesninger 23: Rettskrivningshistorie. 25:00,"Lars Vassenden, Ole Jørgen Johannessen.",Boneté Xavier,Univisjon,,Master,NRK,,,
4198,Fjernord,01:50:00,Wed Sep 01 00:00:00 CEST 1993,BetacamSP,Fjernord videoforelesninger,"Helge Sandøy, Asbjørn Aarseth",Boneté Xavier,Univisjon,,Master,NRK,,,
4199,Fjernord,01:50:00,Wed Sep 01 00:00:00 CEST 1993,BetacamSP,Fjernord videoforelesninger 12 og 13 Folkediktning. Masselitteratur.,"Olav Solberg, Geir Hjorthol",Boneté Xavier,Univisjon,,Master,NRK,,,
4200,Fjernord 18 og 15,01:50:00,Wed Sep 01 00:00:00 CEST 1993,BetacamSP,Fjernord videoforelesninger nr 15: Syntaktiske mønster. 44:00 Fjernord videoforelesninger nr 18: Eldre språkhistorie. 34:20,"Lars Vassenden, Ole-Jørgen Johannessen.",Boneté Xavier,Univisjon,SEVU,Master,,,,
4208,Kværner Fjellstrand MDS Clipper. ver. 2,00:06:00,Wed May 26 00:00:00 CEST 1993,BetacamSP,Kværner Fjellstrand film om MDS Clipper foilsystem uten intervju,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4210,Kavli sjørøver.,00:00:30,Sat May 01 00:00:00 CEST 1993,BetacamSP,Reklamespot Kavli-sjørøverfamilie på strandtur,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4213,"Fjernord S10: ""Dansk språk"".",Mon Jan 01 05:39:23 CET 1900,Tue Jan 04 00:00:00 CET 1994,BetacamSP,"Fjernord  ""Dansk språk"". Video 26",Peter Kirkegaard,May-Britt Skjelvik,UMS,,Master,NRK,,,
4242,Reform -94,,,BetacamSP,"Reform -94 program 1, ikke fullført",,Arnt Brandseth,Univisjon,KUF,Master,,,,
4251,Fjernord,01:50:00,Wed Sep 01 00:00:00 CEST 1993,BetacamSP,Fjernord videoforelesninger Barnelitteratur. Nr 16,"Magne Møster, Ture Schwebs.",Boneté Xavier,Univisjon,,Master,,,,
4253,Fjernord,00:29:01,Mon Jun 14 00:00:00 CEST 1993,"1"" C",Fjernord: Romantikken - sannhet og skjønnhet? 1800 - 1864.,Vigdis Ystad,May-Britt Skjelvik,Univisjon,,Master,,,,
4255,Fjernord,00:28:44,Wed Jun 30 00:00:00 CEST 1993,"1"" C",Fjernord: Den moderne tilstand 1864 - 1905,Sigurd Aarnes.,May-Britt Skjelvik,Univisjon,,Master,,,,
4256,Fjernord,00:29:00,Thu Jul 01 00:00:00 CEST 1993,"1"" C",Fjernord: Jakta på samanheng i det meingslause. 1905 - 1945,Otto Hageberg,May-Britt Skjelvik,Univisjon,,Master,,,,
4259,Fjernord,03:05:01,Mon May 12 00:00:00 CEST 1997,"1"" C",Fjernord: Kopimaster video 9-14.,,May-Britt Skjelvik,Univisjon,,Dub,,,,
4267,Reform -94. Bakgrunn og innhold,,Fri Sep 10 00:00:00 CEST 1993,BetacamSP,Reform -94. program 1 Bakgrunn og innhold.,,Arnt Brandseth,UMS,KUF,Master,,,,
4270,Genene avslører deg.,,Fri Oct 15 00:00:00 CET 1993,BetacamSP,Genene avslører deg.,,Nils Arne Sæbø,UMS,,Master,,,,
4274,Flyttefolk.,,,BetacamSP,Reklamespot for Bergens Tidende,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4274,Morgenstemning med isskrape.,,,BetacamSP,Reklamespot for Bergens Tidende,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4275,Narkotips.,00:00:40,Mon Mar 01 00:00:00 CET 1993,BetacamSP,"Statens informasjonstjeneste, Reklamespot om narkotika, timeglass og telefonledning.",,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4276,Bergen Fil. Orkester,00:00:42,,BetacamSP,Reklamespot for konserter med Bergen Fil. Orkester,"Dag Lindebjerg, Kitajenko",Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4277,Solberg dekk.,,Tue Mar 31 00:00:00 CEST 1992,"1"" C",Reklamespot for Vesta forsikring og Solberg dekk,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4277,Vesta forsikring.,,Tue Mar 31 00:00:00 CEST 1992,"1"" C",Reklamespot for Vesta forsikring og Solberg dekk,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4278,Foilcat demobåt.,00:06:33,Mon Jan 01 00:00:00 CET 1990,"1"" C",Kværner Fjellstrand video om den første modell av Foilcat,,Nils Arne Sæbø,Kværner/AG Visuell,,,,,,
4279,Foilcat i høg sjø.,00:04:09,Fri Jan 01 00:00:00 CET 1993,"1"" C",Kværner Fjellstrand video om Foilcat i høy sjø ved Marsteinen fyr,,Nils Arne Sæbø,Kværner,Kværner,,,,,
4280,Kværner Eureka gassturbinservice.,00:10:12,Mon Jul 01 00:00:00 CEST 1991,"1"" C",Industrifilm om Kværner Eureka sitt verksted for gassturbiner på Ågotnes,,KTV/Nils Arne Sæbø,Kværner Eureka / AG V,Kværner Eureka / AG V,Master,,,,
4281,Lagunen,00:14:00,Tue May 19 00:00:00 CEST 1992,"1"" C","Reklamespot for været TV-Bergen, animasjon Lagunen",,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4282,Vital 2 år,00:11:00,Wed Jan 01 00:00:00 CET 1992,"1"" C",Infofilm om Vitals 2 års feiring,,KTV/Nils Arne Sæbø,KTV/Vital,Vital,,,,,
4283,Capa,,,BetacamSP,"Animasjon for byrå som selger kinoreklame i Bergen, senere overspilt til 35 mm film.",,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4284,Opal enquete,00:00:36,,U-Matic,"Reklamespot Opal, enquete i butikk",,KTV/Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4284,Opal bleier,00:00:40,,U-Matic,"Reklamespot Opal, på kvinneklinikken",,KTV/Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4285,Opal kyllingbiter,,,U-Matic,"Reklamespot Opal, kyllingbiter og Cola",,KTV/Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4286,BNR,00:00:30,Wed Aug 14 00:00:00 CEST 1991,U-Matic,Reklamespot BNR bussreklame,Frode Rasmussen,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4287,Stopp hærværk!,00:00:40,,U-MaticHB,Reklamespot for Bergen kommune: Mot hærværk.,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4288,Lagunen reklame,00:00:45,,U-MaticSP,Reklamespot for Lagunen. Folk som handler på Lagunen,,Ole Bjørn Kringstad,AG Visuell,AG Visuell,,,,,
4289,Dale garn. engelsk,00:05:05,,Betacam,AV-serie,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4290,Videregående skule som ressurssenter.,00:08:00,Thu Mar 01 00:00:00 CET 1990,"1"" C",Reportasje fra Fjernundervisning Vest og gruppe på Askøy videregående skole.,,KTV/Nils Arne Sæbø,KTV/UMS,Hordaland næringserv,,,,,
4296,WG - tunellduk,00:07:09,Wed Jan 01 00:00:00 CET 1992,BetacamSP,Industrifilm for W-Giertsen om vann- og fuktsikring av tuneller og fjellhaller,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4297,S6S norsk,00:15:00,,Betacam,AV-serie norsk,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4298,S6S engelsk,00:15:00,,Betacam,AV-serie engelsk,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4299,Vital,,,Betacam,Lysbildeserie i forbindelse med etableringen av Vital,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4300,PAN-trafikk,00:12:00,,Betacam,AV-serie,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4301,Bontelab,,,BetacamSP,"AV-serie Bontelabo/Ribers eiendom, norsk spor 1, engelsk spor 2",,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4301,Teigland briller i30 år,00:19:02,,BetacamSP,AV-serie Teigland briller i 30 år.,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4302,NB - Steel,,,Betacam,AV-serie norsk NB-steel,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4303,W. Giertsen Skipshandler.,,,Betacam,AV-serie norsk og engelsk W. Giertsen Skipshandler,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4304,Lerøy fisk,,,Betacam,AV-serie norsk og engelsk  Lerøy Fisk,,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4305,"Bontelabo, Rieber eiendom.",00:14:00,,Betacam,"AV-serie norsk Bontelabo, Rieber eiendom",,Nils Arne Sæbø,AG Visuell,AG Visuell,,,,,
4328,Fjernord presentasjon,00:11:12,Fri Oct 01 00:00:00 CET 1993,BetacamSP,"Fjernord. Utdrag fra magasinprogram L3 og videoforelesning, visningsmaster på Bryggen Museum",,May-Britt Skjelvik,Univisjon,,Master,,,,
4350,Fjernord S8,00:36:00,Mon Nov 01 00:00:00 CET 1993,BetacamSP,"Reportasjer til Fjernord: Fra Målselv, Midøya, Honningsvåg. Sigbjørn Johnsen, Lars Andreas Larsen, Flettfrid, barn leker","Sigbjørn Johnsen, Lars A. Larsen, Fletfrid, Margido Esp, m.fl",Arnt Øivind Siem,Univisjon,,Master,,,,
4356,Hydro fortøying,,Thu Oct 07 00:00:00 CET 1993,BetacamSP,Sikkerhetsrutiner ved fortøying av tankskip på Hudros terminal på Sture.,,Nils Arne Sæbø,AG Visuell,Hydro/AG V,Master,,,,
4357,Fjernord L7.,00:19:00,Wed Dec 01 00:00:00 CET 1993,BetacamSP,"Fjernord. Reportasjer om Rolf Jacobsen, Karin Moe, Om danske dialekter","Rolf Jacobsen, Karin Moe, Prof. Erik Hansen, Prof. Jørn Lund.",May-Britt Skjelvik,Univisjon,SEVU,Master,,,,
4360,"Jakten på det norske: ""Der kongen tar trikken.""",00:24:07,Fri Oct 15 00:00:00 CET 1993,BetacamSP,Der kongen tar trikken.,,Bjørn Vassnes,UMS,NAVF/NRK,Master,NRK,,,
4361,"Jakten på det norske: ""Et folk på tur.""",00:24:24,Fri Oct 15 00:00:00 CET 1993,BetacamSP,Et folk på tur.,,Bjørn Vassnes,UMS,NAVF/NRK,Master,NRK,,,
4362,"Jakten på det norske: ""Bare på museum.""",00:24:46,Fri Oct 15 00:00:00 CET 1993,BetacamSP,Bare på museum.,,Bjørn Vassnes,UMS,NAVF/NRK,Master,NRK,,,
4380,"Narkotips ""Timeglasset"".",00:00:35,Wed Oct 20 00:00:00 CET 1993,BetacamSP,"Stopp narkotika reklame for SI, versjon med ""80"" telfonnumre",,Nils Arne Sæbø,AG Visuell,AG Visuell,Master,,,,
4390,"Fjernord S8B: ""Dannet talemål eller stygge dialekter"". ",00:29:27,Thu Jan 13 00:00:00 CET 1994,BetacamSP,"Fjernord  ""Dannet talemål eller stygge dialekter"".",Helge Sandøy,Arnt Øivind Siem,UMS,,Master,NRK,,,
4391,Sealift engelsk,,Thu Mar 10 00:00:00 CET 1994,BetacamSP,Sealift engelsk,,Nils Arne Sæbø,,,Master,,,,
4395,"Fjernord S8A: ""Dialektlandet Norge"". ",00:30:17,Thu Jan 13 00:00:00 CET 1994,BetacamSP,"Fjernord  ""Dialektlandet Norge"".",Helge Sandøy,Arnt Øivind Siem,UMS,,Master,NRK,,,
4398,"Fjernord L8: ""1965 - 1990.""",00:29:58,Thu Dec 09 00:00:00 CET 1993,BetacamSP,"Fjernord L8 ""1965 - 1990""",,May-Britt Skjelvik,UMS,,Master,NRK,,,
4402,"Fjernord L7: ""1945 - 1965.""",00:30:28,Tue Dec 07 00:00:00 CET 1993,BetacamSP,"Fjernord L7  ""1945 - 1965"" Den moderne tilstand i moderne utgave.",Per Buvik,May-Britt Skjelvik,UMS,,Master,NRK,,,
4406,Fjernord,02:35:17,Tue Jan 18 00:00:00 CET 1994,"1"" C","Kopimaster for Fjernord. Video 19-23. (gammel) 1: Omformingar av setningar og setningsledd. 2: Du skakje kadla meg Annemor lenger. 3: Dialektlandet Norge, Geografisk variasjon. 4: Dannet talemål eller stygge dialekter, sosial variasjon. 5: Rettskrivingshistorie.","Lars Vassenden, Margaret Sandvik m.fl., Helge Sandøy, Ole Jørgen Johannessen.",May-Britt Skjelvik,Univisjon,,Dub,Kopieringsmaster,,,
4414,Vitalrevyen 1993.,00:17:00,Wed Dec 15 00:00:00 CET 1993,BetacamSP,Årsvideo 1993 for Vital forsikring,,Nils Arne Sæbø,Vital,Vital,Master,,,,
4420,The North Sea,00:29:11,Fri May 13 00:00:00 CEST 1994,BetacamSP,"Dokumentar, engelsk versjon ""Secret of the Seas"" The North Sea. Kommentar Val Secretan.",,Arnt Øivind Siem,Univisjon,Wordview,Master,NRK,,,
4425,"Fjernord S10: ""Dansk språk"".",00:29:39,Tue Jan 04 00:00:00 CET 1994,BetacamSP,"Fjernord  ""Dansk språk"".",Peter Kirkegaard,May-Britt Skjelvik,UMS,,Dub,,,,
4427,"Fjernord S10: ""Svensk språk"".",00:29:56,Tue Jan 04 00:00:00 CET 1994,BetacamSP,"Fjernord  ""Svensk språk"".",Anne Heith,May-Britt Skjelvik,UMS,,Master,,,,
4439,Fra forskning til Faktura.,00:07:00,Sat Jan 15 00:00:00 CET 1994,BetacamSP,"Informasjonsprogram om Høyteknologisenteret i Bergen, norsk versjon",, ,Univisjon,,Master,,,,
4444,Sealift. Norsk,00:05:25,Thu Mar 10 00:00:00 CET 1994,BetacamSP,"Hi8 opptak om Sealift-system rdigert på Beta, norsk",,Nils Arne Sæbø,,Abrahamsen,Master,,,,
4456,Sara Lee. Barneombudet.,,Fri Apr 15 00:00:00 CEST 1994,BetacamSP,"Kopi av to reklamespots: Sara Lee, Barneombudet",,Nils Arne Sæbø,AG Visuell,AG Visuell,Dub,,,,
4460,Fjernord,01:03:33,Mon May 12 00:00:00 CEST 1997,"1"" C",Fjernord. Kopimaster video 15-16,,May-Britt Skjelvik,Univisjon,,Dub,,,,
4467,Dei gamle tonar er so fine.,,Wed Mar 23 00:00:00 CET 1994,BetacamSP,Versjon II av program med Ragnar Vigdal som instruerer i sang av folketonar.,"Ragnar Vigdal, Abua Vigdal",Nils Arne Sæbø,Univisjon,Bjørndalssamlingen,Master,,,,
4471,Hypermedia.,00:05:18,Mon Apr 01 00:00:00 CEST 1991,BetacamSP,Schrødingers katt: Hypermedia,,Bjørn Vassnes,Univisjon,,Master,NRK,,,
4472,Melketenner.,00:07:11,Wed Nov 28 00:00:00 CET 1990,BetacamSP,Schrødingers katt: Melketenner,,Bjørn Vassnes,Univisjon,,Master,NRK,,,
4473,Piggfrie vinterdekk.,00:00:28,Fri Jan 01 00:00:00 CET 1993,BetacamSP,Reklamespot for piggfrie vinterdekk,,Nils Arne Sæbø,AG Visuell,AG Visuell,Master,,,,
4475,Tilbords-interiør,00:06:03,Mon May 30 00:00:00 CEST 1994,BetacamSP,"Tilbords-interiør, presentasjon av Til Bords kjeden, interiør i butikk i Bergen",,Nils Arne Sæbø,AG Visuell,AG Visuell,Master,,,,
4476,AV-serie: Halvard Lerøy A.S,,Mon May 30 00:00:00 CEST 1994,Betacam,"AV-serie Halvard Lerøy A.S, engelsk versjon og fransk versjon",,Nils Arne Sæbø,AG Visuell,AG Visuell,Master,,,,
4480,Gift.,00:00:40,Fri Apr 15 00:00:00 CEST 1994,BetacamSP,Reklame for Giftinformasjonssentralen for Statens informasjonstjeneste,,Nils Arne Sæbø,AG Visuell,AG Visuell,Master,,,,
4481,Stopp narkotika timeglasset.,00:00:35,Wed Apr 20 00:00:00 CEST 1994,BetacamSP,"Reklamespot Stopp narkotika med timeglass, versjon 4 med ""800"" telfonnummer",,Nils Arne Sæbø,AG Visuell,AG Visuell,Master,,,,
4482,Osten Norge smelter for.,,Mon Jul 19 00:00:00 CEST 1993,BetacamSP,Reklamespot for Kavli smelteost,,Nils Arne Sæbø,AG Visuell,AG Visuell,Master,,,,
4483,Pigg av.,00:00:37,Tue Oct 29 00:00:00 CET 1991,"1"" C",Reklame for piggfrie vinterdekk for Statens vegvesen,,Nils Arne Sæbø,AG Visuell,AG Visuell,Master,,,,
4484,Bergensnettet.,,Fri Jan 01 00:00:00 CET 1993,Betacam,AV serie for salgsselskapet Bergensnettet,,Nils Arne Sæbø,AG Visuell,AG Visuell,Master,,,,
4485,Lerøy.,,Fri May 13 00:00:00 CEST 1994,Betacam,AV program Lerøy Norsk versjon,,Nils Arne Sæbø,AG Visuell,AG Visuell,Master,,,,
4507,The North Sea,Mon Jan 01 05:08:17 CET 1900,Fri May 13 00:00:00 CEST 1994,BetacamSP,"Dokumentar ""Secret of the Seas"", The North Sea. uten lydmix.",,Arnt Øivind Siem,Univisjon,Wordview,Dub,,,,
4523,Planting av narkotika.,00:00:30,Thu Feb 16 00:00:00 CET 1995,Betacam,"Spot for Tollvesenet/Statens infotjeneste: ""Planting"". Personer sitter i forhør etter at narkotika er plantet i bagasjen deres.",,Nils Arne Sæbø,AG Visuell,AG Visuell,Master,,,,
4525,Birger Kaada,00:55:00,Thu Sep 01 00:00:00 CEST 1994,BetacamSP,Professor Birger Kaada interviewed by Holger Ursin,"Birger Kaada, Holger Ursin",Arnt Brandseth,UMS,,Dub,,,,
4533,Sobye PP 210.,,,BetacamSP,Sobye PP 210.,,,Sobye,Sobye,Master,,,,
4544,Reform -94: Lærebedriftens rolle.,,Tue Nov 01 00:00:00 CET 1994,BetacamSP,Reform '94 Program 4 Lærebedriftens rolle,,Arnt Brandseth,Univisjon,SEVU,Master,Nornet,,,
4560,Direktør-Punker-Den lille runde-Korni-Osten-Sjørøver-Omelett-Kavli-Sara Lee-Lurifaks,,Sat Oct 15 00:00:00 CET 1994,BetacamSP,Samlekassett reklamespots: Direktøren - Punker - Den lille runde - Korni flatbrød - Osten Norge .... - Sjørøver - Omelett - Fjelltur med Kavli - Sara Lee - Lurifaks,,Nils Arne Sæbø,AG Visuell,,Dub,,,,
4577,Reform -94: Yrkesretting,,Wed Oct 19 00:00:00 CET 1994,BetacamSP,"Reform 94: Reportasjer fra skoler: Bergen maririme skole, Gran vg.skole Hadeland, Meldal i Trøndelag",,May-Britt Skjelvik,Univisjon,SEVU,Master,Nornet,,,
4581,Reform -94: Prosjektarbeid,,Thu Jan 19 00:00:00 CET 1995,BetacamSP,Reportasje fra Lena videregående skole om vurdering av prosjektarbeid.,,May-Britt Skjelvik,Univisjon,SEVU,Master,Nornet,,,
4581,Reform -94: Yrkesretting,,Wed Oct 19 00:00:00 CET 1994,BetacamSP,"Reform-94: Reportasje fra Ål videregående skole, lærere svarer på spørsmål.",,May-Britt Skjelvik,Univisjon,SEVU,Master,Nornet,,,
4581,Reform -94: Prosjektarbeid,,Mon Mar 27 00:00:00 CEST 1995,BetacamSP,Reportasje fra Strand videregående skole om mini-Stortinget,,May-Britt Skjelvik,Univisjon,SEVU,Master,Nornet,,,
4581,Er vi for mange,,Mon Nov 07 00:00:00 CET 1994,BetacamSP,Reportasjer til Nornetsendinger om befolkningsspør 1:Bangladesh 2:Mexico City,"Magnar Norderhaug, Ståle Dyrvik, Trine Lynggard",Nils Arne Sæbø,Univisjon,Nornet,Master,Nornet,,,
4587,Baltic University Program,00:06:57,Thu Oct 31 00:00:00 CET 1996,BetacamSP,"El-cars in Oslo. Acid Rain in Norway. ""The Baltic University Program""",,Arnt Øivind Siem,Univisjon,,Dub,,,,
4610,Er vi for mange?,00:10:00,Mon Nov 07 00:00:00 CET 1994,BetacamSP,"Nedredigert versjon av Nornetsending om befolkningsspørsmål, Norad Bangladesh","Jan Gustav Strandenes, Marit Bergrav, Chiku Ali",Nils Arne Sæbø,Univisjon,Nornet,Ma/Dub,Nornet,,,
4615,Reform -94: Prosjektarbeid,,Thu Nov 24 00:00:00 CET 1994,BetacamSP,5 innslag om fasene i prosjektarbeid,,May-Britt Skjelvik,Univisjon,SEVU,Master,Nornet,,,
4621,Skolevalg om EU 94,,Sun Nov 20 00:00:00 CET 1994,BetacamSP,Reportasjer til Nornetsendingen om EU-valg i videregående skole,,Nils Arne Sæbø,Univisjon,Nornet,Master,Nornet,,,
4622,CMR Flacs,00:18:00,Thu Nov 24 00:00:00 CET 1994,BetacamSP,"Markedsføring av CMR sitt dataprogram Flacs, som kan simulere gasseksplosjoner",,Nils Arne Sæbø,CMR,,Master,,,,
4644,Reform -94: Prosjektarbeid,00:10:02,Thu Feb 16 00:00:00 CET 1995,BetacamSP,Reportasje fra Larvik videregående skole om intervju som arbeidsmetode,,May-Britt Skjelvik,Univisjon,SEVU,Master,Nornet,,,
4658,Showreel AGV,9 x 30 sek,Wed Oct 15 00:00:00 CEST 1997,BetacamSP,Showreel AG-Visuell: 1:Fotball BT 2:Tiøren-Buss 3:Stop Narkotika -jul 4:FotoKnudsen-Pisa 5:FotoKnudsen-Kanin 6:Kripos-Bamse 7:Røykefilm 8:FotoKnudsen-Hai 9:FotoKnudsen-Gris,,Nils Arne Sæbø,AG Visuell,AG Visuell,Master,,,,
4659,Presentasjon av UiB.,00:03:00,Wed Feb 15 00:00:00 CET 1995,BetacamSP,Presentasjon av UiB for elever ved videregående skole. N.B! Dette er kortversjonen.,,Arnt Brandseth,Univisjon,,Master,,,,
4660,Presentasjon av UiB,00:07:00,Thu Feb 16 00:00:00 CET 1995,BetacamSP,En presentasjon av UiB for universitetesansatte i andre land. Programmet vektlegger forskning innen fisk og olje.,,Arnt Brandseth,Univisjon,UiB,Master,,,,
4661,Vitalrevyen 1994,,Sun Jan 01 00:00:00 CET 1995,BetacamSP,Vitalrevyen 1994,,Nils Arne Sæbø,Vital,,Master,,,,
4665,Bergen i slentrende perspektiv.,00:13:00,,Betacam,AV-serie om Bergen av Kjartan Rødland,Kjartan Rødland,Nils Arne Sæbø,AG Visuell,,Master,,,,
4666,AV-serie Hallvard Lerøy A/S,00:13:00,Fri Oct 14 00:00:00 CET 1994,Betacam,AV.serie for Hallvard Lerøy - engelsk,,Nils Arne Sæbø,AG Visuell,,Master,,,,
4667,AV-serie Hallvard Lerøy A/S,00:13:00,Fri Oct 14 00:00:00 CET 1994,Betacam,AV.serie for Hallvard Lerøy - norsk - fransk,,Nils Arne Sæbø,AG Visuell,,Master,,,,
4668,Kavli: Denlille runde - Direktøren - Pønker'n.,,Wed Nov 30 00:00:00 CET 1994,BetacamSP,Tre reklamespots for Kavli - Korni - Ost: Den lille rund. Direktøren. Pønker'n.,,Nils Arne Sæbø,AG Visuell,,Master,,,,
4669,Korni flatbrød.,00:00:30,Sun May 15 00:00:00 CEST 1994,BetacamSP,Reklame Korni flatbrød. Bestefar og gutt på fjellet.,,Nils Arne Sæbø,AG Visuell,,Master,,,,
4670,Tollvesenets tipstelefon.,00:00:45,Mon Aug 15 00:00:00 CEST 1994,BetacamSP,Reklame for Tollvesenets tipstelfon. Ein orm som skal sette ei sprøyte - tar telefonen i staden.,,Nils Arne Sæbø,AG Visuell,,Master,,,,
4690,Å være student er.......kaffe,00:06:00,Wed Feb 15 00:00:00 CET 1995,BetacamSP,"Vi følger en persons fase som student ved Universitetet i Bergen. Intervju med rektor Ole Didrik Lærum, 1.konsulent Ivar Nordmo og student Endre Berge","Ole Didirk Lærum, Endre Berge, Ivar Nordmo",Arnt Brandseth,Univisjon,,Master,,,,
4695,Ex.phil.,00:03:00,Wed Feb 15 00:00:00 CET 1995,BetacamSP,Intervju med filosof Sidsel Aamodt. Hun orienterer om eksamen philosophicum. Innslaget er krydret med en student-enquete.,Sidsel Aamodt,Arnt Brandseth,Univisjon,,Master,,,,
4702,Reform-94: Prosjektarbeid,00:04:05,Mon Mar 27 00:00:00 CEST 1995,BetacamSP,Reportaje fra U. Pihl skole om kantinedrift.,"Øyvind Norhagen, Eva Budal.",May-Britt Skjelvik,Univisjon,SEVU,Master,Nornet,,,
4702,Reform-94: Prosjektarbeid,00:06:29,Sun Mar 27 00:00:00 CET 1994,BetacamSP,Reportaje fra Randaberg videregående skole om elevbedrift.,,May-Britt Skjelvik,Univisjon,SEVU,Master,Nornet,,,
4715,Vann og fuktsikring av tunneller.,00:07:50,Thu Feb 16 00:00:00 CET 1995,BetacamSP,Video for W. Giertsen om tunnellduk til fuktsikring. Engelsk versjon.,,Nils Arne Sæbø,AG Visuell,AG Visuell,Master,,,,
4716,Gift info.,00:00:30,Thu Feb 16 00:00:00 CET 1995,BetacamSP,Spot for Giftinformasjonskanalen. Barn som bruker pilleglass som rangle. Statens Informasjonstjeneste.,,Nils Arne Sæbø,AG Visuell,AG Visuell,Master,,,,
4728,Grieg. Engelsk versjon,00:16:20,Tue May 25 00:00:00 CEST 1993,BetacamSP,"Video til Grieg jubileet. Musikk med bilder, Trollhougen, Hardanger, Bergen, Hordaland. Engelsk versjon.","Leif Ove Andsnes, Marianne Juvik Sæbø.",Nils Arne Sæbø,AGV/Univisjon,Univisjon,Dub,,,,
