Ref,Programtittel,Lengde,Prod_dato,Arkivert,Format,Opptaksted,Innhold,Produsent_Regi,Oppdragsgiver,Emne,Personer,Rettigheter,Lyd,Foto,Arkivert_Billy
211.0,Den praktiske professor,,2012.0,17.12.12,HD,Bergen,"Den praktiske professor (råstoff). Hammer. Helt siden han var liten gutt har prof. Erling Hammer vært innovativ. Elektrikeren endte etter hvert opp som professor ved Universitetet i Bergen, der hans forskning har ført til både konkrete produkt og mange arbeidsplasser i regionen.",May-Britt Skjelvik,UiB,Den praktiske professor Hammer,Erling Hammer,UiB,Frode Ims,Frode Ims,
212.0,Vitenskapshvelvet 2011,,2012.0,17.12.12,HD,Bergen,Vitenskapshvelvet 2011 (råstoff),,UiB,Vitenskapshvelvet 2011,,,"Frode Ims, Arnt Brandseth","Frode Ims, Arnt Brandseth",
213.0,Sustaining Ethical Aquaculture Trade,,2012.0,19.12.12,HD,"Bergen, Bangladesh, ++",SEAT (råstoff). Sustaining Ethical Aquaculture Trade,Arnt Brandseth,UiB - Senter for vitenskapsteori,SEAT1. Sustaining Ethical Aquaculture Trade,"Carl Walter Matthias Kaiser, Scott Bremer",UiB,Frode Ims,Frode Ims,
214.0,Lyktetenning i Japanhagen,,2012.0,26.08.13,HD,Bergen,"Lyktetenning i Japanhagen. Snø,kaldt og vindstille vær gjorde rammen perfekt når lyktene ble tent i Japanhagen på Milde.  Håpet er at dette kan bli en årlig tradisjon. Universitetet i Bergen, UiB, Japanhagen, Arboretet, Milde, lykter, buddisme, botanisk hage",Arnt Brandseth,UiB,Lyktetenning i Japanhagen,,UiB,Frode Ims,Frode Ims,
215.0,Forventninger til forskningsmeldingen. Stoltenberg,,2012.0,26.08.13,HD,Bergen,Forventninger til forskningsmeldingen. Stoltenberg. Studenters forventing til forskningsmeldingen 2013,Arnt Brandseth,UiB,Forventninger til forskningsmeldingen,,UiB,Arnt Brandseth,Arnt Brandseth,
216.0,Dronejakt på olje,,2013.0,27.08.13,HD,Bergen,"Dronejakt på olje. Intervju: Kim E Andreassen. Flygende droner med kamera er geologenes nyeste våpen i jakten på olje. Ved Uni CIPR i Bergen bruker forskerne laserskannere, infrarøde sensorer og digitale kamera for å gjenskape realistiske, virtuelle kartmodeller. Uni CIPR var i perioden 2002-2012 et Senter for fremragende forskning (SFF) og er tilknyttet Universitetet i Bergen. Musikk: Jamendo - Re-Drum - Cyan. Norske undertekster: Sverre Ole Drønen. Startbilde:Eivind Senneset",Frode Ims,UiB,Dronejakt på olje,,UiB,Frode Ims,Frode Ims,
217.0,ultrasound visualization technology,,2013.0,27.08.13,HD,Bergen,Ivan Viola. Institutt for informatikk. ultrasound visualization technology,Ivan Viola,UiB,Ivan Viola. Institutt for informatikk. ultrasound visualization technology,Ivan Viola,UiB,Frode Ims,Frode Ims,
218.0,Holberg 2013. Bruno Latour,,2013.0,28.08.13,HD,Bergen,"Holberg 2013. Bruno Latour. Bruno Latour talks about truth, knowledge, relativism and the limits of science. Holberg Prize laureate 2013 Bruno Latour talks about the role of social science, cllimate changes, the situation in Europe and gives advice to European youth.",Kim Andreassen,UiB,Holberg 2013. Bruno Latour,Bruno Latour,UiB,Frode Ims,Frode Ims,
219.0,WUN GHEAR event in Washington DC,,2013.0,28.08.13,HD,Bergen,WUN GHEAR event in Washington DC. Bidrag fra Bergen,May-Britt Skjelvik,UiB Bjørn Erik Andersen,WUN GHEAR event in Washington DC,,UiB,Frode Ims,Frode Ims,
220.0,Digitalt pensum ved Universitetet i Bergen,,2013.0,29.08.13,HD,Bergen,"Digitalt pensum ved Universitetet i Bergen. En kort film om digitalt pensum ved UiB. En student forteller om de digitale ressursene studenter ved UiB har tilgang til, og hvordan de får tilgang til materialet. UB infofilm",May-Britt Skjelvik,UiB,UB infofilm. Digitalt pensum ved Universitetet i Bergen.,,UiB,Frode Ims,Frode Ims,
